FlyID,Sex,Genotype,Vial,DeathTime,Treatment,censor
1,1,Rover,1,30,,1
2,1,Rover,1,48,,1
3,1,Rover,1,48,,1
4,1,Rover,1,54,,1
5,1,Rover,1,54,,1
6,1,Rover,1,60,,1
7,1,Rover,1,60,,1
8,1,Rover,1,66,,1
9,1,Rover,1,66,,1
10,1,Rover,1,72,,1
11,1,Rover,2,42,,1
12,1,Rover,2,48,,1
13,1,Rover,2,48,,1
14,1,Rover,2,48,,1
15,1,Rover,2,54,,1
16,1,Rover,2,54,,1
17,1,Rover,2,54,,1
18,1,Rover,2,54,,1
19,1,Rover,2,60,,1
20,1,Rover,2,66,,1
21,1,Rover,3,42,,1
22,1,Rover,3,42,,1
23,1,Rover,3,42,,1
24,1,Rover,3,54,,1
25,1,Rover,3,54,,1
26,1,Rover,3,66,,1
27,1,Rover,3,66,,1
28,1,Rover,3,72,,1
29,1,Rover,3,72,,1
30,1,Rover,3,90,,1
31,1,Rover,4,36,,1
32,1,Rover,4,42,,1
33,1,Rover,4,42,,1
34,1,Rover,4,48,,1
35,1,Rover,4,54,,1
36,1,Rover,4,60,,1
37,1,Rover,4,60,,1
38,1,Rover,4,60,,1
39,1,Rover,4,60,,1
40,1,Rover,4,60,,1
41,1,Rover,5,42,,1
42,1,Rover,5,42,,1
43,1,Rover,5,48,,1
44,1,Rover,5,48,,1
45,1,Rover,5,54,,1
46,1,Rover,5,54,,1
47,1,Rover,5,54,,1
48,1,Rover,5,60,,1
49,1,Rover,5,66,,1
50,1,Rover,5,72,,1
51,1,Rover,6,48,,1
52,1,Rover,6,54,,1
53,1,Rover,6,54,,1
54,1,Rover,6,54,,1
55,1,Rover,6,60,,1
56,1,Rover,6,60,,1
57,1,Rover,6,60,,1
58,1,Rover,6,66,,1
59,1,Rover,6,72,,1
60,1,Rover,6,108,,1
61,1,Rover,7,24,,1
62,1,Rover,7,42,,1
63,1,Rover,7,48,,1
64,1,Rover,7,54,,1
65,1,Rover,7,54,,1
66,1,Rover,7,54,,1
67,1,Rover,7,54,,1
68,1,Rover,7,60,,1
69,1,Rover,7,66,,1
70,1,Rover,7,66,,1
71,1,Rover,8,42,,1
72,1,Rover,8,48,,1
73,1,Rover,8,48,,1
74,1,Rover,8,48,,1
75,1,Rover,8,60,,1
76,1,Rover,8,60,,1
77,1,Rover,8,60,,1
78,1,Rover,8,66,,1
79,1,Rover,8,66,,1
80,1,Rover,8,72,,1
81,1,Rover,9,54,,1
82,1,Rover,9,54,,1
83,1,Rover,9,54,,1
84,1,Rover,9,60,,1
85,1,Rover,9,60,,1
86,1,Rover,9,60,,1
87,1,Rover,9,60,,1
88,1,Rover,9,60,,1
89,1,Rover,9,72,,1
90,1,Rover,9,72,,1
91,1,Rover,10,42,,1
92,1,Rover,10,42,,1
93,1,Rover,10,48,,1
94,1,Rover,10,48,,1
95,1,Rover,10,54,,1
96,1,Rover,10,60,,1
97,1,Rover,10,60,,1
98,1,Rover,10,66,,1
99,1,Rover,10,66,,1
100,1,Rover,10,72,,1
101,0,Rover,1.1,30,,1
102,0,Rover,1.1,30,,1
103,0,Rover,1.1,30,,1
104,0,Rover,1.1,30,,1
105,0,Rover,1.1,36,,1
106,0,Rover,1.1,36,,1
107,0,Rover,1.1,36,,1
108,0,Rover,1.1,36,,1
109,0,Rover,1.1,42,,1
110,0,Rover,1.1,48,,1
111,0,Rover,2.1,24,,1
112,0,Rover,2.1,24,,1
113,0,Rover,2.1,30,,1
114,0,Rover,2.1,30,,1
115,0,Rover,2.1,30,,1
116,0,Rover,2.1,36,,1
117,0,Rover,2.1,36,,1
118,0,Rover,2.1,48,,1
119,0,Rover,2.1,48,,1
120,0,Rover,2.1,48,,1
121,0,Rover,3.1,30,,1
122,0,Rover,3.1,30,,1
123,0,Rover,3.1,30,,1
124,0,Rover,3.1,30,,1
125,0,Rover,3.1,36,,1
126,0,Rover,3.1,36,,1
127,0,Rover,3.1,36,,1
128,0,Rover,3.1,36,,1
129,0,Rover,3.1,42,,1
130,0,Rover,3.1,48,,1
131,0,Rover,4.1,24,,1
132,0,Rover,4.1,24,,1
133,0,Rover,4.1,30,,1
134,0,Rover,4.1,30,,1
135,0,Rover,4.1,30,,1
136,0,Rover,4.1,30,,1
137,0,Rover,4.1,30,,1
138,0,Rover,4.1,36,,1
139,0,Rover,4.1,36,,1
140,0,Rover,4.1,36,,1
141,0,Rover,5.1,24,,1
142,0,Rover,5.1,24,,1
143,0,Rover,5.1,30,,1
